title,authors,venue,year,citations,ranking
Optimized IoT service placement in the fog,"O Skarlat, M Nardelli, S Schulte, M Borkowski, P Leitner","Service Oriented Computing and Applications 11 (4), 427-443",2017.0,462,
Extraction of microservices from monolithic software architectures,"G Mazlami, J Cito, P Leitner","2017 IEEE International Conference on Web Services (ICWS), 524-531",2017.0,389,A
Patterns in the chaos—a study of performance variation and predictability in public iaas clouds,"P Leitner, J Cito","ACM Transactions on Internet Technology (TOIT) 16 (3), 1-23",2016.0,306,
Resource provisioning for IoT services in the fog,"O Skarlat, S Schulte, M Borkowski, P Leitner",2016 IEEE 9th international conference on service-oriented computing and …,2016.0,279,
"Monitoring, prediction and prevention of sla violations in composite services","P Leitner, A Michlmayr, F Rosenberg, S Dustdar","2010 IEEE International Conference on Web Services, 369-376",2010.0,217,A
An empirical analysis of the docker container ecosystem on github,"J Cito, G Schermann, JE Wittern, P Leitner, S Zumberi, HC Gall",2017 IEEE/ACM 14th International Conference on Mining Software Repositories …,2017.0,210,A
Comparing and combining predictive business process monitoring techniques,"A Metzger, P Leitner, D Ivanović, E Schmieders, R Franklin, M Carro, ...","IEEE Transactions on Systems, Man, and Cybernetics: Systems 45 (2), 276-290",2014.0,200,
A mixed-method empirical study of Function-as-a-Service software development in industrial practice,"P Leitner, E Wittern, J Spillner, W Hummer","Journal of Systems and Software 149, 340-359",2019.0,198,
Monitoring and analyzing influential factors of business process performance,"B Wetzstein, P Leitner, F Rosenberg, I Brandic, S Dustdar, F Leymann",2009 IEEE International Enterprise Distributed Object Computing Conference …,2009.0,188,B
Runtime prediction of service level agreement violations for composite services,"P Leitner, B Wetzstein, F Rosenberg, A Michlmayr, S Dustdar, F Leymann","European Conference on a Service-Based Internet, 176-186",2009.0,172,
An empirical analysis of build failures in the continuous integration workflows of java-based open-source software,"T Rausch, W Hummer, P Leitner, S Schulte",2017 IEEE/ACM 14th International Conference on Mining Software Repositories …,2017.0,168,A
Comprehensive qos monitoring of web services and event-based sla violation detection,"A Michlmayr, F Rosenberg, P Leitner, S Dustdar",Proceedings of the 4th international workshop on middleware for service …,2009.0,168,
Function-as-a-service performance evaluation: A multivocal literature review,"J Scheuner, P Leitner","Journal of Systems and Software 170, 110708",2020.0,163,
Cost-based optimization of service compositions,"P Leitner, W Hummer, S Dustdar","IEEE Transactions on Services Computing 6 (2), 239 - 251",2013.0,161,
The making of cloud applications: An empirical study on software development for the cloud,"J Cito, P Leitner, T Fritz, HC Gall",Proceedings of the 2015 10th Joint Meeting on Foundations of Software …,2015.0,153,
Winds of change: From vendor lock-in to the meta cloud,"B Satzger, W Hummer, C Inzinger, P Leitner, S Dustdar","IEEE internet computing 17 (1), 69-73",2013.0,140,
"End-to-end support for QoS-aware service selection, binding, and mediation in VRESCo","A Michlmayr, F Rosenberg, P Leitner, S Dustdar","IEEE Transactions on Services Computing 3 (3), 193-205",2010.0,139,
An end-to-end approach for QoS-aware service composition,"F Rosenberg, P Celikovic, A Michlmayr, P Leitner, S Dustdar",2009 IEEE international enterprise distributed object computing conference …,2009.0,128,B
End-to-end versioning support for web services,"P Leitner, A Michlmayr, F Rosenberg, S Dustdar","2008 IEEE International Conference on Services Computing 1, 59-66",2008.0,104,
We’re doing it live: A multi-method empirical study on continuous experimentation,"G Schermann, J Cito, P Leitner, U Zdun, HC Gall","Information and Software Technology 99, 41-57",2018.0,102,
A tale of CI build failures: An open source and a financial organization perspective,"C Vassallo, G Schermann, F Zampetti, D Romano, P Leitner, A Zaidman, ...",2017 IEEE international conference on software maintenance and evolution …,2017.0,101,
Daios: Efficient dynamic web service invocation,"P Leitner, F Rosenberg, S Dustdar","IEEE Internet Computing 13 (3), 72-80",2009.0,100,
Esc: Towards an elastic stream computing platform for the cloud,"B Satzger, W Hummer, P Leitner, S Dustdar","2011 IEEE 4th International Conference on Cloud Computing, 348-355",2011.0,99,B
Application-level performance monitoring of cloud services based on the complex event processing paradigm,"P Leitner, C Inzinger, W Hummer, B Satzger, S Dustdar",2012 Fifth IEEE International Conference on Service-Oriented Computing and …,2012.0,95,
Metaheuristic optimization of large-scale qos-aware service compositions,"F Rosenberg, MB Müller, P Leitner, A Michlmayr, A Bouguettaya, ...","2010 IEEE International Conference on Services Computing, 97-104",2010.0,94,B
Beyond code generation: An observational study of chatgpt usage in software engineering practice,"R Khojah, M Mohamad, P Leitner, FG de Oliveira Neto","Proceedings of the ACM on Software Engineering 1 (FSE), 1819-1840",2024.0,93,
Current and future bots in software development,"L Erlenhov, FG de Oliveira Neto, R Scandariato, P Leitner",2019 IEEE/ACM 1st International Workshop on Bots in Software Engineering …,2019.0,93,
An exploratory study of the state of practice of performance testing in java-based open source projects,"P Leitner, CP Bezemer",Proceedings of the 8th ACM/SPEC on International Conference on Performance …,2017.0,91,
Software microbenchmarking in the cloud. How bad is it really?,"C Laaber, J Scheuner, P Leitner","Empirical Software Engineering 24 (4), 2469-2508",2019.0,90,
An evaluation of open-source software microbenchmark suites for continuous performance assessment,"C Laaber, P Leitner",Proceedings of the 15th international conference on mining software …,2018.0,90,
Identifying influential factors of business process performance using dependency analysis,"B Wetzstein, P Leitner, F Rosenberg, S Dustdar, F Leymann","Enterprise Information Systems 5 (1), 79-98",2011.0,90,
Towards composition as a service-a quality of service driven approach,"F Rosenberg, P Leitner, A Michlmayr, P Celikovic, S Dustdar","2009 IEEE 25th International Conference on Data Engineering, 1733-1740",2009.0,90,
Modelling and managing deployment costs of microservice-based cloud applications,"P Leitner, J Cito, E Stöckli",Proceedings of the 9th International Conference on Utility and Cloud …,2016.0,89,
Cost-efficient and application SLA-aware client side request scheduling in an infrastructure-as-a-service cloud,"P Leitner, W Hummer, B Satzger, C Inzinger, S Dustdar","2012 IEEE Fifth International Conference on Cloud Computing, 213-220",2012.0,89,B
What's wrong with my benchmark results? Studying bad practices in JMH benchmarks,"D Costa, CP Bezemer, P Leitner, A Andrzejak","IEEE Transactions on Software Engineering 47 (7), 1452-1467",2019.0,86,
VieSLAF Framework: Enabling Adaptive and Versatile SLA-Management,"I Brandic, D Music, P Leitner, S Dustdar","International Workshop on Grid Economics and Business Models, 60-73",2009.0,86,
An empirical study of bots in software development: Characteristics and challenges from a practitioner’s perspective,"L Erlenhov, FGDO Neto, P Leitner",Proceedings of the 28th ACM joint meeting on european software engineering …,2020.0,85,
