title,authors,venue,year,citations,type,ranking,impact_factor
The impact of prompt programming on function-level code generation,"R Khojah, FG de Oliveira Neto, M Mohamad, P Leitner",IEEE Transactions on Software Engineering,2025,18,Journal,,6.8
Let’s Trace It: Fine-Grained Serverless Benchmarking for Synchronous and Asynchronous Applications,"S Talluri, S Eismann, J Scheuner, A Iosup, P Leitner, C Abad, E van Eyk","Future Generation Computer Systems, 108336",2025,,Journal,,6.1
BLAFS: A Bloat-Aware Container File System,"H Zhang, M Alhanahnah, P Leitner, A Ali-Eldin","Proceedings of the 2025 ACM Symposium on Cloud Computing, 614-628",2025,,Conference,,
LLM Company Policies and Policy Implications in Software Organizations,"R Khojah, M Mohamad, L Erlenhov, FG de Oliveira Neto, P Leitner",IEEE Software,2025,,Journal,,2.6
Beyond code generation: An observational study of chatgpt usage in software engineering practice,"R Khojah, M Mohamad, P Leitner, FG de Oliveira Neto","Proceedings of the ACM on Software Engineering 1 (FSE), 1819-1840",2024,93,Conference,A*,
An empirical investigation on the competences and roles of practitioners in Microservices-based Architectures,"HM Ayas, R Hebig, P Leitner","Journal of Systems and Software 213, 112055",2024,13,Journal,,5.9
Machine learning systems are bloated and vulnerable,"H Zhang, M Alhanahnah, FA Ahmed, D Fatih, P Leitner, A Ali-Eldin",Proceedings of the ACM on Measurement and Analysis of Computing Systems 8 (1 …,2024,10,Conference,A*,
A unified active learning framework for annotating graph data for regression tasks,"P Samoaa, L Aronsson, A Longa, P Leitner, MH Chehreghani","Engineering Applications of Artificial Intelligence 138, 109383",2024,4,Journal,,7.5
From Human-to-Human to Human-to-Bot Conversations in Software Engineering,"R Khojah, FG de Oliveira Neto, P Leitner",Proceedings of the 1st ACM International Conference on AI-Powered Software …,2024,4,Conference,,
"The roles, responsibilities, and skills of engineers in the era of microservices-based architectures","H Michael Ayas, R Hebig, P Leitner",2024 IEEE/ACM 17th International Conference on Cooperative and Human Aspects of Software Engineering (CHASE),2024,2,Conference,B,
The Impact of Compiler Warnings on Code Quality in C++ Projects,"A Johansson, C Holmberg, F Gomes De Oliveira Neto, P Leitner",Proceedings of the 32nd IEEE/ACM International Conference on Program …,2024,1,Conference,A,
An empirical study of the systemic and technical migration towards microservices,"H Michael Ayas, P Leitner, R Hebig","Empirical Software Engineering 28 (4), 85",2023,29,Journal,,3.6
